ztfname host_ra host_dec sn_ra sn_dec
ZTF19aaephty 9.81544 6.68848 9.81592 6.68842
ZTF19aaeyirx 149.28449 48.97468 149.28432 48.97457
ZTF19aaezwmr 102.03552 17.49478 102.03535 17.49487
ZTF19aafmfxg 162.95225 8.84094 162.95268 8.84102
ZTF19aafmhcl 132.33528 11.19795 132.33599 11.19891
ZTF19aafmvdb 180.42465 20.40500 180.42883 20.40383
ZTF19aafmwfc 193.35090 0.46115 193.35080 0.46075
ZTF19aafmwhv 188.05334 24.49943 188.05341 24.49947
ZTF19aafncsv 249.18891 18.68858 249.19000 18.68749
ZTF19aafnecv 255.26871 25.86888 255.26836 25.86978
ZTF19aafnfyc 219.39131 22.72914 219.39203 22.72911
ZTF19aafwrhf 123.61075 9.64556 123.61078 9.64567
ZTF19aagflbn 270.00000 -80.00000 223.73983 3.01407
ZTF19aagkfvq 162.88833 -10.14764 162.88834 -10.14764
ZTF19aagmpeq 179.68056 52.09421 179.67855 52.09506
ZTF19aagmsrr 159.40794 37.45563 159.40993 37.45818
ZTF19aahjhoy 184.88374 49.81574 184.88014 49.81418
ZTF19aahsclk 37.45918 32.05330 37.45938 32.05338
ZTF19aahsgka 66.70811 29.94793 66.70556 29.95155
ZTF19aahsnmq 111.10271 42.06664 111.10270 42.06661
ZTF19aahuian 130.90093 47.25321 130.90158 47.25357
ZTF19aahulyd 113.24563 58.28083 113.24537 58.27885
ZTF19aahygro 159.14736 -7.11279 159.15089 -7.10873
ZTF19aaileug 150.49460 43.36075 150.49534 43.35953
ZTF19aailexm 150.38337 39.26006 150.38339 39.25975
ZTF19aaillan 270.00000 -80.00000 201.53019 15.72539
ZTF19aailltc 184.04891 35.95479 184.04861 35.95478
ZTF19aailqir 193.84957 45.41846 193.84806 45.41814
ZTF19aailqli 200.33056 52.77917 200.33103 52.77857
ZTF19aailsfh 201.99971 30.27518 202.00175 30.27498
ZTF19aailteb 229.48798 37.11357 229.48575 37.11400
ZTF19aailuvj 231.87684 28.69985 231.87575 28.69946
ZTF19aailvgo 231.99924 9.57502 231.99940 9.57461
ZTF19aainjpz 64.99148 -7.25720 64.99201 -7.25691
ZTF19aainjqn 63.06318 -6.70294 63.06246 -6.70253
ZTF19aajwdqt 180.94192 -8.06610 180.94193 -8.06603
ZTF19aajwdux 175.79835 -8.62349 175.79795 -8.62348
ZTF19aajwhbc 180.80636 54.01635 180.80804 54.01722
ZTF19aajwhse 207.90234 -8.84012 207.90237 -8.84008
ZTF19aajwjwq 153.44439 -8.25540 153.44464 -8.25631
ZTF19aajxhwa 78.32989 8.19362 78.32949 8.19352
ZTF19aajxwnz 94.37760 62.49101 94.37688 62.49113
ZTF19aakisjl 163.61316 7.14356 163.61518 7.14239
ZTF19aakisqk 167.54879 5.24263 167.54898 5.24207
ZTF19aakiwxx 199.06432 62.54812 199.06788 62.54768
ZTF19aakiycc 211.83726 62.73507 211.83690 62.73484
ZTF19aakiyly 217.83740 23.42281 217.83693 23.42236
ZTF19aakiznm 212.93442 0.98126 212.93465 0.98138
ZTF19aakizps 211.84190 -1.09639 211.84127 -1.09238
ZTF19aakjbej 177.73374 36.50439 177.73369 36.50463
ZTF19aakjesi 270.26767 30.46157 270.26748 30.46169
ZTF19aakjfaz 267.34380 44.51777 267.34389 44.51829
ZTF19aakkuqb 26.31390 32.06159 26.31404 32.06163
ZTF19aaklbok 111.50086 40.00987 111.50098 40.00967
ZTF19aakljys 181.44804 37.82856 181.44780 37.82864
ZTF19aaklqod 134.65643 20.19210 134.65675 20.19185
ZTF19aaklquv 153.38234 29.55136 153.38287 29.55171
ZTF19aakluwr 42.24445 26.50597 42.24368 26.50379
ZTF19aaknacv 161.26516 0.10303 161.26555 0.10454
ZTF19aaknemm 121.62610 -2.74297 121.62639 -2.74367
ZTF19aaknign 120.01880 39.89652 120.01769 39.89790
ZTF19aaknvlv 177.47602 8.56591 177.47563 8.56582
ZTF19aaknvuh 191.33541 42.06079 191.33557 42.06089
ZTF19aakoasy 185.50656 20.34168 185.50597 20.34067
ZTF19aakobov 200.85550 70.86462 200.85470 70.86549
ZTF19aakocxy 114.10603 72.21767 114.10567 72.21784
ZTF19aakoese 95.31041 48.63633 95.31046 48.63678
ZTF19aakozyp 213.63343 17.23310 213.63229 17.23300
ZTF19aakpcfi 246.24850 23.17743 246.24781 23.17570
ZTF19aakpcfy 246.71666 29.38726 246.71553 29.38561
ZTF19aakpfax 252.80252 62.51777 252.80191 62.51754
ZTF19aakpmoy 65.87394 -15.76534 65.87243 -15.76682
ZTF19aakpmry 57.83619 -18.30943 57.83617 -18.31377
ZTF19aakrawk 158.37558 -14.96086 158.37564 -14.96077
ZTF19aakrhzj 181.78094 1.37985 181.78071 1.38081
ZTF19aakrnqh 201.72214 57.46481 201.72233 57.46378
ZTF19aaksqsz 191.14196 1.66352 191.14197 1.66397
ZTF19aaksrgj 189.52610 8.04589 189.52664 8.04628
ZTF19aaksrlb 222.15425 6.81396 222.15368 6.81435
ZTF19aakswlj 222.28913 38.40884 222.28908 38.40893
ZTF19aaktdid 192.42268 -12.34750 192.42012 -12.34810
ZTF19aakthjl 200.51567 22.26949 200.51759 22.26979
ZTF19aaktpns 231.69436 18.75123 231.69461 18.75128
ZTF19aakwifv 78.12682 6.94910 78.12720 6.94824
ZTF19aakxwqu 138.02694 15.91254 138.02605 15.91015
ZTF19aakykjl 163.94766 27.67133 163.94766 27.67152
ZTF19aakyxsq 161.00470 16.57824 161.00409 16.57864
ZTF19aakzwao 197.23825 28.28049 197.23910 28.28124
ZTF19aalafip 181.12504 23.85856 181.12842 23.85721
ZTF19aalaxsa 172.77273 57.43817 172.77325 57.43796
ZTF19aalbzoh 267.79348 21.44539 267.79047 21.44388
ZTF19aalcwjt 129.83490 17.18842 129.83404 17.18800
ZTF19aalcyfd 142.90339 41.31957 142.90683 41.32207
ZTF19aaldqvh 160.99643 51.11321 160.99634 51.11270
ZTF19aalemmz 220.24315 23.15258 220.24326 23.15281
ZTF19aaleptm 222.71531 49.02955 222.71665 49.02952
ZTF19aalfxyi 74.93145 4.73017 74.93239 4.72822
ZTF19aaljcsu 124.64147 -2.31385 124.64167 -2.31391
ZTF19aaljeup 121.96109 0.53121 121.96138 0.53011
ZTF19aallvor 173.95392 10.75056 173.95401 10.75058
ZTF19aaloezs 190.55926 42.26690 190.55848 42.26687
ZTF19aalrtfm 243.93699 1.37417 243.93688 1.37505
ZTF19aalsqqy 240.54917 15.91823 240.54903 15.91813
ZTF19aaluprf 126.81633 -0.20862 126.81626 -0.20845
ZTF19aalvaxt 188.68087 46.95784 188.68234 46.95886
ZTF19aalveag 185.42210 31.70886 185.42179 31.70887
ZTF19aalwegb 80.96419 8.91570 80.96428 8.91650
ZTF19aalxcyo 122.24877 16.81905 122.24853 16.81919
ZTF19aalxlpp 114.85276 31.03864 114.85459 31.03750
ZTF19aalyecr 74.88654 -8.82837 74.88766 -8.82987
ZTF19aalyleg 102.22008 19.35405 102.21991 19.35195
ZTF19aalzgdr 177.68974 -12.85468 177.69006 -12.85491
ZTF19aalzmio 212.18503 29.05066 212.18532 29.05060
ZTF19aalzmiu 270.00000 -80.00000 236.99608 40.81695
ZTF19aalzmmt 226.40743 21.37504 226.40685 21.37448
ZTF19aalzrrz 202.77868 37.24946 202.77847 37.24853
ZTF19aamaeve 241.59855 27.39078 241.59875 27.39162
ZTF19aambfxc 265.42957 67.96197 265.42944 67.96205
ZTF19aambixl 232.08860 11.58148 232.08862 11.58186
ZTF19aambzqh 248.60560 11.61357 248.60603 11.61384
ZTF19aamdmcs 229.99636 20.71316 229.99633 20.71303
ZTF19aamfxby 118.38583 65.41718 118.38402 65.41689
ZTF19aamggua 149.91176 35.39856 149.91632 35.39512
ZTF19aamgjtz 141.88211 5.65327 141.88202 5.65321
ZTF19aamgokq 149.57737 5.19479 149.57724 5.19458
ZTF19aamgttu 135.64507 14.52439 135.64486 14.52450
ZTF19aamgypy 176.10943 19.71383 176.10762 19.71314
ZTF19aamhhae 212.68092 54.61387 212.68118 54.61409
ZTF19aamhhey 222.45033 54.81308 222.44908 54.81303
ZTF19aamhhgu 222.97160 55.40749 222.97129 55.40753
ZTF19aamhhyo 208.15965 33.08594 208.16009 33.08543
ZTF19aamhjlk 250.37427 72.94415 250.37473 72.94468
ZTF19aamhlnl 270.00000 -80.00000 235.84513 15.52969
ZTF19aamhqej 277.20031 50.37244 277.20185 50.37320
ZTF19aamhqow 257.15199 21.78152 257.15208 21.78114
ZTF19aamjvie 141.36445 58.31400 141.36176 58.31420
ZTF19aamkdtq 167.71652 28.70254 167.71564 28.70306
ZTF19aamkfxb 162.89703 41.13647 162.89723 41.13687
ZTF19aamkywr 256.28593 7.98961 256.28578 7.99058
ZTF19aammewd 150.78208 3.35037 150.78006 3.35169
ZTF19aamoidt 166.61888 -22.74074 166.61877 -22.74075
ZTF19aamooex 197.97251 38.87020 197.97100 38.86907
ZTF19aamoqxy 210.01686 5.69165 210.01814 5.69176
ZTF19aampqcq 102.83374 49.88586 102.82684 49.88359
ZTF19aampyum 141.51051 18.94022 141.51046 18.94016
ZTF19aamqebl 162.72551 17.83509 162.72515 17.83628
ZTF19aamqlxu 192.50872 -17.65479 192.50876 -17.65476
ZTF19aamqlyl 189.29841 -17.75892 189.29769 -17.75794
ZTF19aamrdmm 265.86469 5.64242 265.85847 5.63866
ZTF19aamrnyv 87.99088 18.11820 87.99073 18.11809
ZTF19aamsnhu 174.12599 58.89930 174.12617 58.89922
ZTF19aamtima 47.91900 36.06849 47.91989 36.06932
ZTF19aamtwwv 171.54949 55.33761 171.54983 55.33738
ZTF19aamvmer 243.42569 47.05331 243.42603 47.05372
ZTF19aamwyzl 217.35826 16.68150 217.35712 16.68203
ZTF19aanbfaw 126.26201 41.05135 126.26224 41.05155
ZTF19aanbojt 152.70709 54.21480 152.70676 54.21479
ZTF19aanejfr 127.62620 15.81119 127.62552 15.81185
ZTF19aanesxt 158.66599 53.97245 158.66369 53.97304
ZTF19aanetjx 159.29305 25.90354 159.29290 25.90357
ZTF19aaneugz 158.00510 18.16053 158.00503 18.16066
ZTF19aanfyey 164.55569 16.89267 164.55572 16.89264
ZTF19aanfzox 160.16072 12.21950 160.16075 12.21950
ZTF19aangier 193.74875 52.22945 193.74825 52.23017
ZTF19aanhgqg 212.20082 35.61293 212.20483 35.61417
ZTF19aanhlxe 206.66519 23.40098 206.66439 23.39944
ZTF19aanhlzi 203.03324 10.43832 203.03485 10.43821
ZTF19aanhlzn 210.02964 16.70259 210.02962 16.70262
ZTF19aanircs 245.98008 53.40343 245.98110 53.40349
ZTF19aanirdx 253.75241 58.92295 253.75250 58.92296
ZTF19aanjjgr 153.49929 -19.59047 153.49939 -19.59011
ZTF19aanjjhk 153.77717 -18.72006 153.77513 -18.71949
ZTF19aanjlwx 151.06496 -8.03615 151.06480 -8.03660
ZTF19aanmclt 227.83896 11.39261 227.83849 11.39411
ZTF19aanmdsr 258.03643 55.30685 258.03685 55.30683
ZTF19aanmeyw 244.36416 0.98702 244.36469 0.98673
ZTF19aanonjt 147.55522 -14.02512 147.55409 -14.02770
ZTF19aanramr 156.20567 44.03541 156.20706 44.03513
ZTF19aansyyn 221.71448 37.78746 221.71331 37.79004
ZTF19aantarc 204.95719 20.29964 204.95899 20.29989
ZTF19aanuhox 259.82275 48.77357 259.82226 48.77228
ZTF19aanuhsc 251.71622 41.57836 251.71838 41.57802
ZTF19aanuipj 274.63730 58.03957 274.63894 58.03843
ZTF19aanuipr 281.29698 47.53821 281.29553 47.53755
ZTF19aanukbi 263.64396 19.33618 263.63420 19.33058
ZTF19aanutko 249.78445 24.77778 249.78364 24.77864
ZTF19aanuuen 237.83774 8.27165 237.83822 8.27146
ZTF19aanvmcm 83.60876 2.07970 83.60848 2.08066
ZTF19aanwwlo 195.12267 0.59889 195.12205 0.59800
ZTF19aanxgrz 268.95182 62.61226 268.95838 62.61263
ZTF19aanxnkd 177.28603 57.84460 177.28675 57.84483
ZTF19aanxosu 238.99341 36.70673 238.99332 36.70666
ZTF19aanxrkt 232.44784 7.20132 232.44797 7.20125
ZTF19aanxufb 225.30371 -11.34217 225.30404 -11.34087
ZTF19aanydko 245.01700 -3.26508 245.01800 -3.26404
ZTF19aanyubf 330.78267 36.64148 330.78122 36.64244
ZTF19aanyuyh 328.59612 15.15694 328.59601 15.15697
ZTF19aaoaaap 115.51293 73.25972 115.50730 73.26062
ZTF19aaobwpx 233.91151 35.01300 233.91041 35.01175
ZTF19aaocbes 297.51844 71.97356 297.51822 71.97360
ZTF19aaohyqj 162.46745 16.61032 162.46888 16.61015
ZTF19aaoikti 180.75013 38.27483 180.75244 38.27412
ZTF19aaojnrx 199.66691 1.91411 199.66709 1.91415
ZTF19aaokist 225.65963 10.94441 225.66080 10.94322
ZTF19aaomkvl 241.12507 17.47003 241.12520 17.47082
ZTF19aaoyech 187.59028 25.63495 187.59047 25.63384
ZTF19aaoyjoz 180.23125 10.57627 180.23058 10.57667
ZTF19aaozpew 207.03800 30.83166 207.03741 30.83171
ZTF19aaozplq 208.54809 41.97424 208.55021 41.97564
ZTF19aapapdb 244.79619 57.97954 244.79616 57.98001
ZTF19aapbgmp 294.57130 51.18533 294.57085 51.18529
ZTF19aapbgty 258.14928 64.45737 258.14869 64.45608
ZTF19aapcftv 88.85866 46.77656 88.85994 46.77535
ZTF19aapcoqg 112.90398 45.25103 112.90053 45.25089
ZTF19aapcvdi 131.50362 3.63587 131.50534 3.63430
ZTF19aapcvxi 142.00660 4.01165 142.00612 4.01207
ZTF19aapcwdq 270.00000 -80.00000 158.74471 28.65709
ZTF19aapcxiy 146.37038 -7.61222 146.37011 -7.61213
ZTF19aapdkza 155.82039 -13.87933 155.82032 -13.87942
ZTF19aapeime 188.45908 77.71138 188.45902 77.71231
ZTF19aapelnr 196.15285 -16.45502 196.15302 -16.45622
ZTF19aapemqu 196.37492 -8.76503 196.37539 -8.76466
ZTF19aapfktd 199.87632 -0.99212 199.87641 -0.99224
ZTF19aapgbri 270.00000 -80.00000 275.50401 55.96448
ZTF19aapgdcn 285.16793 69.88235 285.15869 69.88181
ZTF19aaphifl 259.24450 -2.81933 259.24623 -2.82030
ZTF19aaphkxx 299.21679 61.66061 299.21327 61.65941
ZTF19aaphmto 245.99225 68.44982 245.98427 68.44807
ZTF19aaphntn 252.48711 25.70517 252.48716 25.70454
ZTF19aaplpaa 169.45237 13.72767 169.45079 13.72821
ZTF19aapnzde 224.45049 34.47825 224.45123 34.47819
ZTF19aapocyd 246.69354 44.95292 246.69420 44.95415
ZTF19aapqrsh 304.30186 5.27804 304.29887 5.27782
ZTF19aaprwye 355.83786 50.45722 355.83689 50.45630
ZTF19aaprzcr 176.02394 -4.67427 176.02339 -4.67369
ZTF19aapszzy 223.12274 37.06087 223.12534 37.06215
ZTF19aaptarf 249.24973 26.91413 249.24977 26.91411
ZTF19aaptwpu 146.52682 67.20699 146.52554 67.20697
ZTF19aaptzar 149.75145 17.81870 149.74969 17.81894
ZTF19aapuohr 191.81772 -9.68767 191.81862 -9.68713
ZTF19aaputrv 202.79608 41.77519 202.79610 41.77505
ZTF19aapvhhp 199.22657 33.41715 199.22760 33.41887
ZTF19aapvogv 217.55399 -5.69968 217.55405 -5.69987
ZTF19aapwbvm 278.53573 70.95540 278.53524 70.95479
ZTF19aapxocr 197.50523 75.72143 197.50133 75.72189
ZTF19aaqcqkv 196.07838 33.47019 196.07682 33.47106
ZTF19aaqeisc 223.40126 30.92277 223.40126 30.92276
ZTF19aaqgnhf 111.22547 -0.02923 111.22476 -0.03004
ZTF19aaqhelq 168.79219 61.11020 168.79205 61.11004
ZTF19aaqtcmy 243.29695 54.78834 243.29688 54.78824
ZTF19aaqtyku 186.59568 71.56408 186.59536 71.56381
ZTF19aaqwqhu 156.88261 -26.41126 156.88212 -26.41060
ZTF19aaqxcfs 149.24236 45.22912 149.24204 45.22898
ZTF19aaqyvdn 273.20350 14.23367 273.20365 14.23372
ZTF19aaraued 179.46140 -16.88858 179.46148 -16.88848
ZTF19aaraxhh 200.36720 62.87501 200.36784 62.87504
ZTF19aardunx 233.86186 8.38814 233.86187 8.38648
ZTF19aarfksi 185.46981 12.11779 185.46960 12.11753
ZTF19aarflsx 172.01176 16.66880 172.01173 16.66890
ZTF19aarfnto 215.51061 30.06665 215.51095 30.06702
ZTF19aargqez 317.70465 4.34570 317.70283 4.34558
ZTF19aarhxgn 163.09566 72.08110 163.09594 72.08066
ZTF19aarifvr 198.94427 33.52175 198.94496 33.52124
ZTF19aarilal 90.10656 53.36029 90.10526 53.36058
ZTF19aarinmw 224.32533 11.30752 224.32515 11.30741
ZTF19aaripqw 160.88325 48.44371 160.88542 48.44571
ZTF19aariwpf 202.38419 7.00506 202.38425 7.00508
ZTF19aarixue 210.16230 15.19333 210.16185 15.19335
ZTF19aarkpif 218.70487 74.77093 218.70061 74.77213
ZTF19aarlefl 240.40815 16.43448 240.40663 16.43598
ZTF19aarmznp 160.72650 21.62334 160.72765 21.62472
ZTF19aarnqzw 223.55979 4.79437 223.56513 4.79295
ZTF19aarnrbw 226.86304 3.20273 226.86359 3.20419
ZTF19aarprog 248.54309 19.63403 248.54277 19.63468
ZTF19aarqmjs 121.51421 -6.17218 121.51251 -6.16959
ZTF19aarstfg 135.27376 52.64938 135.27858 52.65108
ZTF19aartuev 196.11072 -20.46002 196.10733 -20.45782
ZTF19aartuli 193.90884 -16.75049 193.90837 -16.75029
ZTF19aartylj 189.87410 -14.07758 189.87357 -14.07751
ZTF19aasckwd 253.16563 10.60227 253.16438 10.60229
ZTF19aasfsoi 282.21810 21.35570 282.21966 21.35529
ZTF19aaslzjf 320.62791 65.81392 320.62629 65.81348
ZTF19aasmftm 325.90054 77.83159 325.90045 77.83147
ZTF19aasmkhn 259.51286 14.75567 259.51219 14.75520
ZTF19aassqix 302.93368 7.87273 302.93328 7.87299
ZTF19aasszud 313.63660 -5.75879 313.63602 -5.75695
ZTF19aatgaiq 144.38541 14.64337 144.38519 14.64323
ZTF19aatgopg 173.05746 7.11415 173.05726 7.11394
ZTF19aatgrpm 175.38573 22.56424 175.38445 22.56736
ZTF19aatgrxl 168.73554 19.83320 168.73572 19.83323
ZTF19aatgrxv 172.42718 24.64036 172.42752 24.64021
ZTF19aatgsdl 175.38334 29.98411 175.38351 29.98338
ZTF19aatgwhs 265.22696 38.73575 265.22436 38.73537
ZTF19aatgznl 213.04766 40.09847 213.04844 40.09863
ZTF19aathcvn 256.38297 12.56877 256.38195 12.56837
ZTF19aatlmbo 208.37451 40.27241 208.37140 40.27542
ZTF19aatnfvj 229.03317 15.45866 229.03328 15.45857
ZTF19aatudsq 296.46082 -6.30787 296.46066 -6.31278
ZTF19aatvkrn 307.40845 2.38608 307.42051 2.38540
ZTF19aatvlfl 318.62917 7.82868 318.62830 7.82821
ZTF19aatvljp 316.53086 14.98618 316.53381 14.98172
ZTF19aatvlym 321.47403 0.41604 321.47219 0.41464
ZTF19aatvmbo 320.55863 5.78692 320.55927 5.78842
ZTF19aatvvvu 320.47827 30.15038 320.47856 30.15090
ZTF19aatzlmw 258.49562 3.49378 258.49667 3.49240
ZTF19aaugoig 175.50224 26.91464 175.50129 26.91462
ZTF19aauguzk 154.76014 38.37474 154.75871 38.37396
ZTF19aauhbua 169.64513 19.68023 169.64825 19.68093
ZTF19aauhhjy 159.76745 39.97225 159.76789 39.97232
ZTF19aauhwbp 181.00097 65.09710 181.00425 65.09633
ZTF19aauitks 200.26119 20.09852 200.26101 20.09877
ZTF19aauivtj 202.18923 6.69852 202.18902 6.69870
ZTF19aaujiwc 218.12811 8.54106 218.12841 8.54072
ZTF19aaujzqh 240.27635 49.00947 240.27766 49.00974
ZTF19aaulzvc 283.69398 55.17298 283.69277 55.17240
ZTF19aaumvig 249.45121 25.78977 249.45111 25.78950
ZTF19aauoulb 159.13274 45.27939 159.13620 45.27963
ZTF19aaupkev 230.36073 37.45489 230.36052 37.45462
ZTF19aaupkrl 237.84909 61.08056 237.84879 61.08019
ZTF19aauplxw 228.03363 1.06074 228.03268 1.06051
ZTF19aauqywe 267.62672 77.48371 267.62826 77.48383
ZTF19aaurhox 248.01609 42.51170 248.01656 42.51170
ZTF19aaurstb 272.43215 44.18064 272.43346 44.18105
ZTF19aaurxsa 265.07164 17.69325 265.07347 17.69419
ZTF19aauuzlr 174.75627 -18.07524 174.75678 -18.07552
ZTF19aauvjws 187.99046 35.85355 187.99056 35.85387
ZTF19aauvkxu 192.97010 76.16136 192.97514 76.16206
ZTF19aauxmqj 250.63212 78.93310 250.63199 78.93384
ZTF19aavaikm 310.80931 7.54744 310.80888 7.54645
ZTF19aavhvkd 154.85845 44.40463 154.84694 44.40857
ZTF19aavhwxs 218.47836 0.64964 218.47858 0.64968
ZTF19aavhxby 224.13551 -2.10839 224.13704 -2.10646
ZTF19aavhypb 219.64298 50.08675 219.64166 50.08723
ZTF19aavhzsc 213.11593 64.38036 213.10339 64.38358
ZTF19aavidqf 268.06429 47.26666 268.06529 47.26778
ZTF19aavissk 294.33301 39.66545 294.33376 39.66659
ZTF19aavitlq 299.25696 50.17928 299.25582 50.17860
ZTF19aavivbl 297.67781 53.47876 297.67818 53.47953
ZTF19aavkhuy 170.71709 34.17138 170.71782 34.16859
ZTF19aavlfvn 219.54309 10.13493 219.54349 10.13480
ZTF19aavlnjz 212.51109 4.43014 212.51067 4.42972
ZTF19aavmgtv 215.92974 28.34742 215.93018 28.34778
ZTF19aavmlqh 253.17312 11.38124 253.17305 11.38142
ZTF19aavmnpb 279.97637 40.13321 279.97851 40.13323
ZTF19aavnwoh 169.84693 39.38434 169.84695 39.38438
ZTF19aavnwtf 155.83385 41.39447 155.83433 41.39485
ZTF19aavnwxf 189.89776 45.37787 189.89824 45.37716
ZTF19aavnwyt 163.77502 57.65048 163.77594 57.64892
ZTF19aavnwzv 156.84841 53.19961 156.84564 53.20081
ZTF19aavnxwj 191.95853 41.85721 191.95863 41.85725
ZTF19aavnzti 153.69013 75.80854 153.69063 75.80839
ZTF19aavoiyc 239.77393 19.80189 239.77326 19.80137
ZTF19aavorpa 264.11391 13.40334 264.11563 13.40306
ZTF19aavounq 227.48996 14.51830 227.49141 14.51815
ZTF19aavowpa 242.73808 57.91024 242.73805 57.91034
ZTF19aavqiuw 168.85949 25.96161 168.86134 25.95893
ZTF19aavqoop 146.76705 43.12756 146.76713 43.12711
ZTF19aavqotz 151.17166 40.04205 151.17176 40.04210
ZTF19aavqoyu 148.74192 37.38307 148.74179 37.38285
ZTF19aavrswr 270.00000 -80.00000 229.15297 7.06679
ZTF19aavsahh 247.57799 6.19742 247.57801 6.19716
ZTF19aavsyhq 242.42655 -4.38813 242.42886 -4.38833
ZTF19aavvozj 310.31404 16.18419 310.31465 16.18421
ZTF19aavvvrc 27.66537 33.08428 27.66630 33.08597
ZTF19aavwbpc 168.31616 2.40438 168.31604 2.40421
ZTF19aavweum 154.97408 22.10561 154.97352 22.10511
ZTF19aavxikq 185.17484 -7.28840 185.17713 -7.28756
ZTF19aavxpbx 227.52507 -12.94299 227.52507 -12.94313
ZTF19aavxufb 193.23749 -13.03857 193.23806 -13.03688
ZTF19aavyafo 238.12960 -15.33134 238.13025 -15.32977
ZTF19aawafvn 219.31541 30.16567 219.31502 30.16584
ZTF19aawblge 329.92235 66.18788 329.92337 66.18683
ZTF19aawbsek 256.20856 -8.34874 256.20673 -8.34877
ZTF19aawfbzn 340.02470 24.69802 340.02627 24.69820
ZTF19aawfcgp 328.99736 27.90026 328.99183 27.89901
ZTF19aawfely 326.46248 15.10923 326.46148 15.10909
ZTF19aawgfnn 220.10243 9.50153 220.10280 9.50171
ZTF19aawgolt 183.84401 -11.11714 183.84506 -11.11797
ZTF19aawgopm 270.00000 -80.00000 192.51174 -14.76670
ZTF19aawhhkn 253.04196 43.18797 253.04466 43.19008
ZTF19aawhlcn 219.43425 52.72536 219.43862 52.72680
ZTF19aawhniz 211.81116 49.09359 211.81008 49.09380
ZTF19aawlnlq 288.51255 -23.20992 288.51338 -23.21050
ZTF19aawmkja 283.91836 51.23738 283.91803 51.23771
ZTF19aawmqtd 262.08773 23.74502 262.08818 23.74429
ZTF19aawnqoj 233.21489 6.29462 233.21466 6.29453
ZTF19aawqckx 270.56972 69.88247 270.57181 69.88197
ZTF19aawrumx 293.37238 67.50649 293.37433 67.50663
ZTF19aawscnp 328.67816 -8.21799 328.67809 -8.21861
ZTF19aawtnqd 153.10134 59.66053 153.10313 59.65964
ZTF19aawtqdv 161.32516 35.32035 161.32765 35.32192
ZTF19aawudku 190.28657 -5.19638 190.28730 -5.19397
ZTF19aawupxb 180.50886 22.12131 180.50879 22.12133
ZTF19aawwlxc 234.45049 34.92138 234.45022 34.92129
ZTF19aawyepw 244.80511 34.16531 244.80505 34.16525
ZTF19aaxeerg 195.57357 46.35943 195.57425 46.35980
ZTF19aaxeetj 197.98927 44.81551 197.98926 44.81502
ZTF19aaxffum 239.67130 11.24043 239.67159 11.24022
ZTF19aaxfzao 271.07750 29.73187 271.07694 29.73340
ZTF19aaxhysx 314.43245 -7.71674 314.43232 -7.71683
ZTF19aaxibby 320.59157 -12.81329 320.59023 -12.81360
ZTF19aaxibpz 347.50426 9.61970 347.50429 9.62016
ZTF19aaxnlps 296.38359 -15.51785 296.38584 -15.51596
ZTF19aaxolvo 327.73495 -9.26661 327.73455 -9.26845
ZTF19aaxpjpq 152.14238 55.51632 152.14284 55.51625
ZTF19aaxpjwk 221.45661 50.39544 221.44786 50.39675
ZTF19aaxptsd 154.66423 75.52247 154.66288 75.52430
ZTF19aaxqsbn 203.02888 80.16306 203.02594 80.16294
ZTF19aaxyukr 226.37592 16.89492 226.37554 16.89425
ZTF19aayabqe 243.51438 60.78382 243.52263 60.78314
ZTF19aayckwk 325.31268 -9.66751 325.31279 -9.66801
ZTF19aaycomi 351.30396 9.45370 351.30438 9.45319
ZTF19aaydpru 194.42119 -24.47735 194.42143 -24.47661
ZTF19aayfaum 267.43776 48.45947 267.43318 48.45995
ZTF19aayjqpa 190.69129 73.81012 190.69015 73.81272
ZTF19aayjsty 212.68440 -8.20263 212.68593 -8.20402
ZTF19aaykugs 165.17364 60.06462 165.17216 60.06445
ZTF19aaynskj 2.25803 1.36869 2.25843 1.36867
ZTF19aaynsws 357.66073 6.10724 357.66090 6.10647
ZTF19aaynsyd 356.85785 0.94986 356.85798 0.94942
ZTF19aayogzn 206.03699 42.66900 206.03752 42.66912
ZTF19aaypehm 239.36032 29.52817 239.36012 29.52793
ZTF19aayqait 291.46763 40.81411 291.46769 40.81397
ZTF19aayrjnf 353.08718 -0.55310 353.08773 -0.55300
ZTF19aayshvd 157.23851 8.47944 157.24445 8.47952
ZTF19aaysiwt 162.93190 44.12305 162.93307 44.12262
ZTF19aayslow 203.22845 32.10360 203.22707 32.10247
ZTF19aayveer 310.76637 25.00499 310.76511 25.00523
ZTF19aayvylv 22.58185 31.80526 22.58186 31.80508
ZTF19aaywatq 44.16296 47.52582 44.16364 47.52611
ZTF19aaywazj 41.58537 44.95301 41.58440 44.95500
ZTF19aaywlmi 235.10174 41.78365 235.10071 41.78372
ZTF19aaywtoc 158.67994 60.62619 158.68020 60.62647
ZTF19aayxlma 259.10395 36.11402 259.10398 36.11413
ZTF19aayxlsg 265.13896 47.83674 265.13840 47.83641
ZTF19aazcxwk 259.35255 45.43165 259.35307 45.43074
ZTF19aazdcmj 329.56363 -13.13571 329.56405 -13.13548
ZTF19aazdirb 351.79902 -10.07002 351.79893 -10.07036
ZTF19aazdiwq 352.92405 -13.25098 352.92419 -13.25100
ZTF19aazgdss 241.18106 27.95247 241.18043 27.95334
ZTF19aazgdvh 230.84290 28.61254 230.84293 28.61254
