ztfname,ra,dec
ZTF19abpzuzd,6.4362269,20.2777488
ZTF18abtgtpn,6.4659716,-20.6806363
ZTF20acjutba,6.4772259,4.7975563
ZTF21abpryuv,6.4895691,-17.9170581
ZTF19abimzvh,6.5000633,51.3813472
ZTF19acigqdd,6.5524537,29.6294597
ZTF19abhibzk,6.615448,38.1232971
ZTF22abzbyyw,6.7848779,-24.8974614
ZTF22abyrovo,6.7920875,51.0660502
ZTF18acynoro,6.8268313,3.6122455
ZTF20acrdemq,6.8349072,39.4978152
ZTF20abiscvb,6.8698687,3.3501177
ZTF18abqapch,7.04336365,37.2603321
ZTF19acbswdq,7.0859056,-0.8584233
ZTF20abqetet,7.1178554,48.8587525
ZTF22abscvex,7.1510397,-20.5354045
ZTF19abheamc,7.2154403,-1.0735215
ZTF18acbxsap,7.237562,-3.6432202
ZTF22abaxqlk,7.2405836,12.3164775
ZTF21acgyciq,7.287484,4.7211563
ZTF18acynmcp,7.2884725,-0.1054089
ZTF21acephge,7.3286105,27.7889895
ZTF19abgjlef,7.4487266,17.5574821
ZTF18acmxmlq,7.4826407,10.6985942
ZTF21abzbuvf,7.5076461,-3.0313618
ZTF21acimecy,7.5316,16.1628993
ZTF22aboeaau,7.5378228,28.0711085
ZTF18abtfrbf,7.6026572,-1.2641405
ZTF20abyjoxb,7.6325918,33.2077187
ZTF21ackzyzj,7.6831565,40.3249609
ZTF23aapgxic,7.7485,5.1572562
ZTF22abnxovx,7.7945363,-7.4526192
ZTF21aabhfta,7.8257209,-25.6587998
ZTF20abmcwtd,7.8571516,-12.4567715
ZTF21abiacmi,7.8723583,17.3833748
ZTF18acbxrdw,7.8756717,-19.6233386
ZTF18abnzlnk,7.9099374,28.9695504
ZTF22abqrdqq,8.0505845,30.7070905
ZTF19abzwtiu,8.1728936,44.2687636
ZTF19aboudfp,8.3884062,21.7856459
ZTF22aazjvid,8.4116073,5.3245182
ZTF19acthucv,8.4534761,-0.1417568
ZTF19acbacvu,8.5234579,5.3540465
ZTF23aaqbyxl,8.60244,24.3639088
ZTF20acordqz,8.6212526,1.3059918
ZTF18acajkff,8.6301667,10.53622085
ZTF21abrmefg,8.6376332,37.1336323
ZTF19ablpnmk,8.6852124,1.5749142
ZTF20abwyyjc,8.6898932,77.6485649
ZTF23aaaahuy,8.715115,5.4007393
ZTF21accibae,8.7947279,1.6288465
ZTF21achrlmg,8.8288841,-19.8949444
ZTF19acsfvog,8.8335313,-2.8513923
ZTF22abvciba,8.8983395,2.1691806
ZTF21aahsgan,8.9123552,25.6773458
ZTF22abbkxor,8.9163659,28.5566723
ZTF20acymtcs,8.9650383,-23.0093701
ZTF19abzhfjj,9.0070326,-5.3839122
ZTF19acjwcyx,9.0139411,-1.3732567
ZTF22aatuxjc,9.0198061,17.8091932
ZTF20abgtran,9.0361125,25.7509367
ZTF20acpkqhq,9.0479924,-23.6599724
ZTF21abtwvyl,9.0773366,10.5573954
ZTF21abvuttc,9.0847544,28.9450576
ZTF18acbxsgy,9.0990073,-9.3416777
ZTF19acfthre,9.1056576,2.4278304
ZTF22abqyiaa,9.1155611,-25.0167192
ZTF22abfyrxh,9.116577,12.4447917
ZTF18abryewg,9.1205849,39.1703492
ZTF19abopflp,9.1324432,29.8001153
ZTF22aalaajn,9.1345591,19.3985297
ZTF19adcghbt,9.175795,-26.3804936
ZTF20acbnoqi,9.1819598,33.105878
ZTF20acxbbaj,9.2143012,2.1703113
ZTF21acfflog,9.2847725,25.6937567
ZTF19acqxoll,9.3056453,25.9749083
ZTF19abisbgx,9.3584249,-9.5074278
ZTF20aamovgw,9.4173826,37.6259823
ZTF18acbxrrx,9.5932186,-18.7131228
ZTF21abwzpgf,9.6975467,32.4142927
ZTF21aciwkzc,9.7001884,21.1594721
ZTF20aanaltd,9.7405664,43.4409967
ZTF18acbxsge,9.8008761,-5.2007479
ZTF19aaephty,9.8159199,6.6884205
ZTF21aaadiap,9.8291268,-0.455697
ZTF18acbudzh,9.8336256,-10.4790149
ZTF18acmxkzj,9.8416601,6.788979
ZTF22abwvcwq,9.8466585,-0.9249192
ZTF20ablxtlp,9.8998811,6.6641218
ZTF19abirbpd,9.914411,30.1781792
ZTF22abhodtl,9.9338408,30.5003558
ZTF19abcejoa,9.9663912,-13.2662167
ZTF21accteto,9.9726883,30.0168191
ZTF21acqedvx,10.0796136,8.7822814
ZTF20abswjae,10.0959283,29.5662298
ZTF22abaxtfy,10.1201315,-9.625746
ZTF20aafdglk,10.1301449,37.6679692
ZTF21abychwq,10.1564007,-14.1327401
ZTF18acsxpmp,10.1790262,30.0460939
ZTF20aahirqq,10.1895779,8.9910425
ZTF19acnzkph,10.2135363,2.8404272
ZTF20aalkfui,10.2897246,16.4615432
ZTF22abiysva,10.3461989,8.9749486
ZTF22abfyqmh,10.3743306,-13.5870076
ZTF18abspqsn,10.4358934,51.6309748
ZTF19adcghvg,10.4497533,-21.9590343
ZTF21acdtosh,10.4571497,-0.4123274
ZTF20aafwbcs,10.5885355,29.6859111
ZTF20aagzzbi,10.6118227,44.3489264
ZTF19abjarnh,10.6240982,24.2202206
ZTF20abqhnqq,10.6353239,15.255975
ZTF21abzithf,10.7570188,25.3961611
ZTF22aatvdon,10.8935041,-6.9138344
ZTF21acincqb,10.8995111,30.5923203
ZTF22aaooldm,10.9401483,18.2031811
ZTF21abmwwsq,11.0741417,49.0039749
ZTF19abqxhhr,11.1309418,-1.5222905
ZTF20abhrmxh,11.1789511,46.746954
ZTF18actxxcx,11.1994508,-19.6287225
ZTF18acmwptq,11.3658208,5.0084079
ZTF19abpelgt,11.4472038,15.537613
ZTF19abwswzb,11.5334929,9.1398452
ZTF22abhvfio,11.5374761,29.4429448
ZTF19acuitcy,11.6043062,20.421664
ZTF18ablmduj,11.6312805,37.7886749
ZTF22aatbtqn,11.6724464,48.7493966
ZTF22aausjcd,11.753887,-19.6678994
ZTF21abqqbfz,11.78234,-25.6619419
ZTF21abrmevu,11.7927591,16.374784
ATLAS21bnkh,11.868995833333331,14.75286388888889
ZTF22aaskqqq,11.8725391,26.3102091
ZTF21absvlrr,11.9121859,-20.5234195
ZTF18abxoqkd,11.9149634,-5.7385887
ZTF18acdyypo,12.0127689,16.0158962
ZTF21abufayv,12.0340446,24.4407933
ZTF22abfxmiu,12.0406505,37.3096054
ZTF20achsfcq,12.0972428,-21.9587066
ZTF18abxfiec,12.1185971,-5.3654057
ZTF22abbiqoi,12.1351451,-7.025124
ZTF20abyjopm,12.1688296,41.6552792
ZTF19abdkcts,12.2792817,-13.7673527
ZTF21aagkvqa,12.2815896,18.2571871
ZTF22aawdqfp,12.3490221,19.9965124
ZTF20acpkjsn,12.3646404,23.4125571
ZTF21abshszs,12.393275,40.0536275
ZTF20abasewu,12.3943834,23.5743821
ZTF18accsawg,12.4389746,-10.1570686
ZTF20aabbvcx,12.4844633,15.7249092
ZTF18abtcdfv,12.52686265,39.9569191
ZTF22absdier,12.5413152,40.0551606
ZTF20abmsqpr,12.5947143,-20.2155651
ZTF22abiymsf,12.6217541,-22.6999758
ZTF20aanakge,12.63055815,41.4841762
ZTF21abdosld,12.6654487,38.321504
ZTF18abosdwf,12.729476,-7.7665978
ZTF18abskzjm,12.7358492,3.4986621
ZTF20aaiihky,12.8371108,25.0045171
ZTF19acvwllm,12.9125606,45.1512676
ZTF19abcejlc,12.9313676,-12.2127359
ZTF20acehmtd,12.9416454,39.6418561
ZTF19ablqnuw,13.0400259,-1.1180937
ZTF19abkdsce,13.1201102,-11.6608403
ZTF21abyfxqr,13.1215505,15.8488434
ZTF20abmcyox,13.1580453,-9.2263469
ZTF22abtvkgk,13.2635084,39.0264013
ZTF19abwscog,13.2935585,-21.5168832
ZTF21aclrkgs,13.2951659,-25.1513239
ZTF18abmogag,13.3042217,20.7146504
ZTF20acpkled,13.3118893,37.7938941
ZTF22abzbqxx,13.3982821,8.1474128
ZTF21acjefpt,13.4399521,1.9556338
ZTF20achtpbn,13.4655287,-18.3108593
ZTF21acoqncy,13.5491094,-14.9698512
ZTF22abyhxlt,13.6024147,-15.6043585
ZTF18acxijqw,13.615131,24.6288909
ZTF20abmubmh,13.6340541,-18.3348792
ZTF19abbyauq,13.6341554,34.3782194
ZTF22abmiuan,13.7424658,-14.7220766
ZTF20aaolusw,13.7953226,7.5416171
ZTF18aczotxi,13.8600746,-12.1460116
ZTF22abucnqf,13.908836,-7.0008006
ZTF19abajrpw,14.0159943,9.611392
ZTF20abpxtaz,14.0529961,-0.5966838
ZTF20abrnklh,14.0659885,-13.3005778
ZTF18acchzkf,14.0900285,-2.5035957
ZTF22abfytlh,14.2081762,15.5141665
ZTF18abvejbm,14.2609098,-0.8738872
ZTF20aciidkb,14.3784572,35.739545
